student_id,age,gender,class_grade,school_type,attendance_percentage,math_score,science_score,english_score,social_science_score,previous_grade_percentage,study_hours_per_day,homework_completion,learning_difficulty,internet_access,digital_device,parent_education,parent_occupation,annual_family_income,family_size,distance_to_school_km,transportation,scholarship_received,mentoring_support,extracurricular_participation,health_issue,dropout_history_in_family,motivation_level,teacher_assessment,Target
15,14,Other,7,NGO,76.9,63,34,43,85,54.7,4.8,60.5,Yes,No,Shared Phone,Secondary,Labourer,63271,4,6.6,Bus,Yes,No,No,No,Yes,High,High,On Track
16,14,Other,9,NGO,81.7,71,81,67,100,76,2.8,95.8,Yes,No,Laptop,None,Self-employed,199317,5,6.7,Bus,Yes,No,Yes,No,Yes,Medium,High,On Track
17,11,Male,9,Government,73.3,72,41,60,69,57.7,1.6,31.7,Yes,No,None,Graduate,Farmer,257286,8,12.9,Walk,No,Yes,No,Yes,Yes,Medium,Medium,On Track
18,18,Other,12,Private,47.8,61,45,88,47,63.3,4.2,99.2,No,No,Laptop,Graduate,Service,123444,7,3.7,Bicycle,No,No,Yes,No,Yes,Medium,Low,At Risk
19,14,Female,10,Private,62.6,99,40,47,49,56.1,4.3,79.4,Yes,No,Laptop,Secondary,Farmer,324484,8,13.2,Bus,No,No,No,No,Yes,Low,Low,At Risk
20,15,Other,9,NGO,86.4,83,98,99,58,84.4,2,64,No,No,Laptop,Primary,Farmer,285047,2,9.7,Walk,Yes,Yes,No,Yes,Yes,Medium,High,On Track
21,14,Male,11,Government,63,88,71,73,78,75.3,5.7,59.5,Yes,No,None,None,Labourer,223480,8,0.5,Walk,Yes,Yes,Yes,Yes,No,High,Low,At Risk
22,11,Female,8,NGO,70.6,62,77,51,44,61.3,1.4,51.8,Yes,No,Laptop,Graduate,Farmer,143981,8,14.8,Walk,Yes,Yes,No,No,No,Low,High,On Track
23,11,Other,10,Private,45.7,83,92,43,85,80.4,4,88,Yes,No,Shared Phone,Secondary,Self-employed,322157,8,3.8,Walk,No,No,No,No,Yes,Medium,High,On Track
24,17,Other,11,Private,63.5,93,71,53,92,74.4,4.9,53.8,No,Yes,Shared Phone,None,Service,166540,5,11.9,Walk,No,No,No,Yes,No,High,Low,At Risk
25,13,Female,9,Government,81.5,77,90,100,97,89.4,6,68.5,No,No,Smartphone,Secondary,Labourer,171807,3,3.4,Bicycle,Yes,Yes,No,No,Yes,High,Low,On Track
26,13,Female,9,Government,57.5,52,68,31,98,58.5,0.8,33.8,No,Yes,Laptop,None,Farmer,46430,4,14.1,Bicycle,No,No,Yes,Yes,No,Medium,Medium,At Risk
27,17,Other,6,Government,76.7,36,49,49,68,46.4,1.9,69.1,No,Yes,Laptop,Graduate,Farmer,272113,8,3.3,Walk,No,No,No,Yes,Yes,Medium,High,On Track
28,13,Other,7,Government,75.4,50,30,82,87,64.1,3.1,32.3,No,No,Laptop,None,Labourer,162381,4,12.4,Walk,Yes,No,Yes,Yes,No,Medium,Low,On Track
29,14,Other,12,Government,51.8,68,81,64,94,77.1,2.9,71.9,No,No,Smartphone,None,Labourer,87881,5,7.9,Bicycle,Yes,Yes,No,Yes,No,High,Medium,On Track
30,17,Female,6,NGO,70.9,82,72,71,43,70.6,2.3,78.6,No,No,None,Graduate,Farmer,86168,7,13.1,Bicycle,No,No,No,Yes,Yes,Medium,Low,On Track
31,18,Male,10,Government,79.2,93,86,36,56,65.4,1.2,50.2,No,Yes,None,Primary,Farmer,123035,5,14.2,Bus,Yes,No,Yes,No,No,High,Medium,On Track
32,18,Female,9,NGO,67.9,91,90,61,88,83,2.6,94.5,Yes,Yes,Smartphone,Graduate,Service,218192,8,2.4,Bus,Yes,No,No,No,No,Medium,High,On Track
33,18,Female,11,Government,70,71,54,60,79,63.3,4.8,33.1,No,No,Laptop,Primary,Service,299694,2,8,Bicycle,Yes,Yes,Yes,Yes,No,High,High,On Track
34,12,Male,6,Private,70.8,63,73,80,40,67.5,5.2,90.2,No,No,Laptop,None,Farmer,75872,8,9.6,Walk,No,Yes,No,Yes,No,Low,High,On Track
35,10,Male,5,Private,62.8,37,67,75,77,63.3,1.8,58.8,Yes,Yes,Shared Phone,None,Self-employed,240563,5,4,Walk,No,Yes,No,No,Yes,High,Low,At Risk
36,11,Male,12,NGO,97,68,84,62,88,79,1.6,56.9,No,Yes,Shared Phone,Graduate,Service,339852,4,0.3,Bus,No,No,Yes,No,No,High,Medium,On Track
37,13,Male,10,Government,57,54,62,47,42,55.3,4.1,51.6,No,Yes,Smartphone,Primary,Labourer,87255,8,8.2,Bicycle,No,No,No,Yes,No,High,Medium,On Track
38,17,Other,9,NGO,86.1,73,44,89,39,57.7,5.8,90.2,No,No,None,Graduate,Self-employed,47297,6,5.8,Bus,Yes,No,No,Yes,Yes,Medium,Medium,On Track
39,17,Male,5,Private,79.1,71,58,38,89,68.1,2.2,58.6,Yes,Yes,None,Secondary,Service,298277,4,10.1,Bus,Yes,Yes,No,Yes,No,Low,High,On Track
40,11,Male,12,NGO,78.9,65,34,77,57,57.7,5.7,89.9,Yes,No,Smartphone,None,Labourer,248739,7,9.7,Walk,Yes,No,Yes,No,Yes,Low,Medium,On Track
41,12,Male,8,Government,48.8,100,56,57,59,66.3,1.3,93,Yes,No,Shared Phone,Primary,Farmer,323228,4,11.9,Walk,Yes,No,No,Yes,Yes,Low,High,At Risk
42,14,Male,5,Private,52,83,97,44,38,65.3,4.8,65.9,Yes,No,Shared Phone,None,Service,313390,5,10.4,Bicycle,No,No,No,Yes,Yes,High,Low,At Risk
43,15,Female,7,Private,48.6,65,100,71,78,83.4,3.4,61.8,No,Yes,None,Primary,Service,265480,7,1.6,Bicycle,Yes,No,No,No,No,Medium,Medium,On Track
44,12,Female,12,Private,48.7,40,41,85,42,54.4,2.5,39.1,Yes,No,None,Graduate,Farmer,225387,6,7.7,Walk,Yes,No,No,Yes,Yes,Medium,High,On Track
45,15,Other,10,NGO,51.3,65,58,84,33,61.1,4.1,78.5,Yes,Yes,Smartphone,Secondary,Service,218165,2,2.3,Bus,Yes,No,Yes,Yes,Yes,Low,Low,At Risk
46,16,Female,11,NGO,70,50,77,69,71,69.5,3.6,35.9,Yes,Yes,Shared Phone,None,Service,82772,5,4.2,Bus,No,No,Yes,No,No,High,Medium,On Track
47,11,Female,9,NGO,82.3,92,97,69,35,70.5,5.9,33.8,Yes,No,Shared Phone,Primary,Service,173965,3,2.1,Bus,No,No,Yes,No,Yes,Low,Low,At Risk
48,16,Male,5,Government,69,88,39,70,84,71,4.4,59.2,Yes,No,None,Secondary,Service,130111,6,6.1,Walk,No,No,No,No,No,Low,Medium,At Risk
49,13,Other,10,Government,87.9,39,95,44,97,68.8,5.5,54.5,Yes,Yes,None,Primary,Labourer,174201,8,9.5,Bicycle,Yes,Yes,No,No,No,High,Low,On Track
50,12,Other,12,NGO,48.8,86,68,65,37,62.5,0.9,62.3,Yes,Yes,Smartphone,Secondary,Farmer,80229,5,13.7,Bus,No,Yes,Yes,No,No,Medium,High,On Track
51,18,Other,7,NGO,97.7,87,43,73,40,60.8,1.4,47.3,No,No,Shared Phone,Secondary,Farmer,235481,8,9.5,Bicycle,No,No,Yes,No,Yes,Medium,Medium,On Track
52,18,Other,11,NGO,60.6,49,72,40,48,56.4,2.2,75.9,No,Yes,None,Secondary,Farmer,333036,7,10.1,Bus,No,No,No,Yes,No,Low,High,At Risk
53,14,Other,7,Government,97.3,73,92,54,58,74.2,1.4,50.7,Yes,Yes,Smartphone,Primary,Service,237509,2,6.3,Bus,Yes,Yes,Yes,No,No,Low,High,On Track
54,17,Female,8,Private,74.4,69,90,54,77,74.3,3.6,60.8,No,No,Laptop,Primary,Farmer,144699,7,12.7,Walk,No,Yes,No,Yes,Yes,Low,High,On Track
55,14,Male,12,Private,94.8,48,85,41,58,61.2,5.4,95.1,No,Yes,Laptop,Secondary,Farmer,163615,8,10.8,Bicycle,Yes,No,Yes,Yes,Yes,Medium,Low,On Track
56,14,Female,12,NGO,83.3,47,90,87,30,67.6,0.6,45.1,Yes,No,None,Secondary,Service,164591,2,1.8,Bicycle,Yes,No,Yes,Yes,Yes,Low,Low,At Risk
57,14,Male,11,Private,45.1,75,60,83,53,69.4,1,98.2,Yes,Yes,Laptop,Graduate,Farmer,62824,4,3.8,Bus,No,No,Yes,No,Yes,Medium,High,At Risk
58,10,Other,10,Private,75,52,89,91,53,74.4,0.8,84.3,No,Yes,Smartphone,Primary,Service,62967,4,0.7,Bus,Yes,Yes,Yes,No,No,Medium,Medium,On Track
59,10,Male,10,NGO,60,77,85,81,86,86.2,2.6,98.2,No,No,Smartphone,Secondary,Self-employed,83312,4,1.7,Bicycle,Yes,No,No,No,No,Medium,High,On Track
60,16,Other,7,Private,82.9,74,87,35,75,68.9,2.9,74.8,Yes,Yes,Laptop,Secondary,Farmer,309004,3,1.2,Bus,Yes,Yes,No,No,No,Low,High,On Track
61,10,Female,7,Private,82.3,77,77,86,39,70.5,3.4,57.9,No,Yes,None,None,Service,137542,3,14.9,Bicycle,No,No,No,Yes,Yes,High,Low,On Track
62,12,Male,6,Private,69.9,86,41,70,74,69.8,3.5,50.3,No,Yes,Shared Phone,Secondary,Farmer,306734,4,8.4,Bicycle,Yes,Yes,No,Yes,Yes,Low,Low,At Risk
63,11,Male,9,Government,66.9,91,97,82,82,91.2,0.9,98.1,Yes,No,Laptop,Secondary,Labourer,107284,4,2.6,Bicycle,Yes,Yes,Yes,No,No,Medium,High,On Track
64,11,Female,9,NGO,55.8,100,65,46,68,70.9,1,74.9,Yes,Yes,Smartphone,None,Labourer,54875,8,8.7,Bus,Yes,Yes,Yes,No,No,High,High,At Risk
65,14,Female,12,NGO,58.5,81,68,88,39,70.9,1.4,59.1,No,Yes,Smartphone,Primary,Farmer,203883,4,3.8,Walk,No,No,No,No,Yes,Medium,Low,At Risk
66,12,Female,6,NGO,47.8,79,83,61,50,71.4,5.6,80.5,Yes,Yes,Laptop,Graduate,Service,301493,3,3.4,Bicycle,No,No,Yes,Yes,No,Low,Low,At Risk
67,17,Male,12,Private,60.7,31,43,85,47,55.3,4.5,83.5,No,Yes,Laptop,None,Service,338991,8,8.3,Bus,No,Yes,Yes,Yes,Yes,High,Medium,On Track
68,16,Male,10,Private,88.7,73,76,48,55,64,2.7,32.8,Yes,Yes,Smartphone,Graduate,Self-employed,312279,3,6,Bus,Yes,No,No,No,No,High,High,On Track
69,14,Other,12,NGO,89.9,77,72,44,83,69.8,4.9,80.8,Yes,No,Smartphone,Primary,Service,66924,3,12.4,Walk,Yes,No,Yes,Yes,Yes,High,High,On Track
70,10,Other,12,Private,62.3,49,82,56,82,67.3,3.9,63,Yes,Yes,Shared Phone,Secondary,Self-employed,290804,7,11.6,Bus,No,No,No,No,Yes,Low,Medium,At Risk
71,13,Female,9,NGO,75.7,58,68,66,56,63.9,3.2,63.6,No,No,None,Graduate,Farmer,246848,4,13.9,Bus,Yes,No,No,No,Yes,Medium,Low,On Track
72,13,Male,9,NGO,96.3,64,47,43,60,50.9,4.2,67.2,Yes,Yes,None,Graduate,Labourer,213168,5,9.9,Bicycle,Yes,No,No,Yes,No,High,Low,On Track
73,15,Other,9,NGO,80.5,41,59,98,34,62.1,1.5,91.8,Yes,Yes,Laptop,Graduate,Farmer,137680,4,4.4,Bus,Yes,No,No,Yes,No,Low,Medium,On Track
74,14,Male,8,Government,89.5,72,50,88,62,70.2,0.6,53.6,No,Yes,Shared Phone,Graduate,Labourer,264239,5,5,Walk,Yes,No,Yes,No,No,Medium,High,On Track
75,13,Female,12,NGO,86.5,72,68,31,63,60,4.3,34.3,Yes,No,Smartphone,Primary,Labourer,252555,3,14.4,Bicycle,Yes,No,Yes,No,No,High,Medium,On Track
76,16,Male,12,NGO,86.7,57,61,40,97,63.2,4.4,35.5,Yes,Yes,Shared Phone,Primary,Service,126264,2,13.5,Bicycle,No,No,Yes,No,Yes,Low,High,On Track
77,18,Female,11,Private,70.1,37,89,69,32,55.7,5,82.2,Yes,Yes,Laptop,Secondary,Labourer,73428,8,2.2,Bus,Yes,Yes,No,No,No,Medium,Low,On Track
78,17,Female,11,Private,65.7,99,47,74,45,63,3.5,67,Yes,Yes,None,Secondary,Labourer,282747,4,3,Bus,No,No,Yes,Yes,No,Low,Low,At Risk
79,10,Male,8,NGO,56.3,42,34,87,36,47.2,0.7,60.7,Yes,Yes,Shared Phone,Secondary,Labourer,162768,5,4.6,Walk,No,No,Yes,No,No,Low,Medium,Dropout
80,10,Female,10,NGO,96.8,78,97,70,83,81.1,2.1,42.9,No,Yes,Shared Phone,Secondary,Labourer,115681,5,3.8,Walk,Yes,No,No,Yes,No,High,Medium,On Track
81,15,Other,6,Government,74.5,54,36,64,78,59.7,3.8,91.2,Yes,Yes,Laptop,Primary,Service,214569,3,10.5,Bus,Yes,No,Yes,No,Yes,Low,Low,At Risk
82,18,Other,10,Government,87.7,78,89,98,75,83.1,2.5,91.8,No,Yes,Laptop,Secondary,Labourer,146497,2,4.1,Bus,No,No,No,No,Yes,Medium,Low,On Track
83,13,Other,10,Government,57.7,61,93,100,73,79.3,5,97.7,No,No,Shared Phone,Secondary,Farmer,128743,8,12.7,Bus,No,Yes,Yes,Yes,No,Low,High,At Risk
84,12,Other,8,Private,48.7,49,31,57,94,57.3,0.8,74.6,No,No,None,None,Self-employed,319032,2,7.6,Bus,Yes,No,No,Yes,Yes,Low,High,At Risk
85,11,Female,7,NGO,58.3,97,62,75,64,77.4,0.9,97.2,No,Yes,Shared Phone,Secondary,Service,82266,2,9.6,Bus,Yes,Yes,Yes,Yes,No,Medium,Medium,On Track
86,16,Male,10,NGO,76.1,42,97,35,59,55.4,5.3,92.1,No,No,None,None,Labourer,186996,8,12.3,Bicycle,Yes,Yes,Yes,No,Yes,Medium,Low,On Track
87,13,Other,11,Private,82.2,99,72,79,47,77.2,4.3,35.5,No,Yes,None,Graduate,Self-employed,161710,2,9.6,Bicycle,No,Yes,No,Yes,No,High,High,On Track
88,18,Female,11,Private,68.8,78,40,67,61,63.6,1,40.8,Yes,No,Smartphone,Secondary,Farmer,95863,3,1.5,Bicycle,Yes,Yes,No,No,Yes,Medium,Medium,On Track
89,10,Male,6,Government,64.5,41,71,79,31,53.4,2.6,35.9,Yes,Yes,Laptop,Primary,Labourer,112792,5,4.3,Bicycle,No,No,No,Yes,No,Medium,Medium,On Track
90,14,Other,8,Government,84.6,93,55,88,43,66.1,0.5,57.7,No,No,Laptop,Secondary,Service,265766,4,2.8,Bicycle,No,Yes,No,No,No,Medium,High,On Track
91,13,Male,10,NGO,65.7,80,76,44,55,64.7,3.5,77.7,Yes,No,Shared Phone,Graduate,Self-employed,192741,3,3.9,Walk,No,Yes,No,No,Yes,High,Medium,On Track
92,17,Male,12,Government,77,98,94,83,99,88.9,5.8,79.1,Yes,Yes,Shared Phone,Secondary,Farmer,127209,4,3.5,Bus,No,Yes,Yes,No,No,Medium,Medium,On Track
93,16,Female,12,Private,87.5,94,49,74,33,62.3,2.1,94.4,Yes,Yes,Shared Phone,Secondary,Service,203520,2,6.7,Bus,No,No,No,No,Yes,Low,High,On Track
94,14,Other,5,Government,89.6,44,32,73,43,49.8,1.4,98.9,Yes,Yes,Shared Phone,Secondary,Labourer,333522,7,9.9,Bicycle,No,No,Yes,Yes,No,Low,Medium,At Risk
95,16,Female,11,NGO,45.2,57,56,65,38,54.8,4.9,67.6,No,No,Shared Phone,Graduate,Service,99745,6,6,Walk,No,No,No,No,No,High,High,On Track
96,12,Other,9,NGO,95.5,40,47,70,45,47.9,1.1,56.1,Yes,No,Laptop,Primary,Labourer,341363,6,2.7,Bicycle,No,No,Yes,Yes,No,Low,Medium,At Risk
97,17,Male,5,Government,92.6,31,92,47,54,59.2,5.8,65.4,No,No,Laptop,Graduate,Self-employed,272706,2,4.3,Bus,Yes,No,No,Yes,No,Low,High,On Track
98,17,Male,6,Private,76.5,64,99,76,99,87.7,0.7,80.3,Yes,No,None,Primary,Farmer,196085,8,12.2,Walk,No,Yes,No,No,Yes,Medium,Medium,On Track
99,12,Male,8,NGO,89.7,37,74,98,65,69.5,1.4,98.5,No,No,Smartphone,None,Labourer,111087,3,2.4,Bicycle,Yes,No,Yes,No,No,Medium,High,On Track
100,12,Other,9,NGO,79.5,78,87,39,41,60.3,4.6,78.6,No,No,Laptop,Secondary,Self-employed,345112,8,1.1,Bus,Yes,Yes,No,Yes,No,High,Medium,On Track
101,13,Male,12,Private,59.8,66,73,100,46,71.9,3.2,54.1,Yes,Yes,None,Graduate,Labourer,48536,7,13.7,Bus,Yes,Yes,No,Yes,No,Medium,Medium,On Track
102,11,Male,10,NGO,58.8,77,51,36,80,62.3,4.5,82.9,No,Yes,None,None,Service,151894,2,0.3,Bicycle,Yes,No,Yes,No,Yes,Low,High,At Risk
103,17,Other,6,NGO,57.6,41,43,43,70,47.9,2.1,56.8,Yes,Yes,None,None,Labourer,126044,5,9.3,Bicycle,No,No,Yes,Yes,Yes,High,Low,At Risk
104,12,Male,6,Government,77.4,79,74,84,70,79.7,1.9,75.1,Yes,No,None,Secondary,Service,147712,5,1.9,Bicycle,No,Yes,Yes,Yes,No,Medium,High,On Track
105,15,Female,7,NGO,66.3,83,76,99,52,80.1,5.7,83.9,Yes,Yes,None,Secondary,Service,153111,5,10.6,Walk,Yes,Yes,Yes,No,Yes,Medium,High,On Track
106,14,Female,6,NGO,73.1,56,49,98,71,67.4,4,88.4,Yes,No,Laptop,Primary,Farmer,70359,4,10.1,Bus,Yes,Yes,Yes,Yes,Yes,Medium,Low,On Track
107,12,Other,5,NGO,54,74,96,96,63,78.9,1.2,84.7,No,Yes,None,Secondary,Farmer,265089,5,6.9,Bicycle,Yes,No,Yes,No,Yes,Medium,High,On Track
108,15,Other,7,NGO,59,43,44,59,95,55.3,5.2,30.9,Yes,No,Smartphone,Graduate,Service,118687,3,5,Bicycle,Yes,Yes,No,No,Yes,High,High,On Track
109,15,Female,6,NGO,72.6,36,52,58,96,65.3,5.7,34.8,No,No,Smartphone,Secondary,Self-employed,85290,7,9.4,Bicycle,Yes,No,No,No,Yes,Medium,Low,On Track
110,18,Male,8,Government,53.3,82,33,59,99,66.7,5.1,91.4,No,Yes,Laptop,Secondary,Self-employed,94499,2,0.8,Walk,Yes,Yes,No,No,No,Medium,Medium,On Track
111,11,Male,6,NGO,72.8,80,39,37,85,61.9,1.2,50.4,No,No,Smartphone,Secondary,Farmer,277375,3,1.8,Bicycle,Yes,No,No,No,No,Low,Low,At Risk
112,11,Other,10,Government,98.1,56,87,69,89,72.9,1.2,41,No,Yes,Shared Phone,Secondary,Self-employed,117764,4,12.3,Walk,Yes,Yes,Yes,No,No,Medium,Medium,On Track
113,18,Male,8,NGO,50.2,43,47,45,31,37.1,4.8,45.6,Yes,No,Smartphone,None,Service,345305,8,2.1,Bicycle,Yes,No,Yes,Yes,No,Low,Low,Dropout
114,10,Female,7,Private,95.8,85,80,93,33,71.6,2.8,54.8,Yes,No,Smartphone,Graduate,Service,117925,2,1.5,Bicycle,Yes,Yes,Yes,No,Yes,High,Medium,On Track
115,18,Male,8,Private,79.7,99,32,78,75,70.8,4.8,54.1,No,No,Smartphone,Primary,Self-employed,53664,8,8.8,Walk,Yes,No,Yes,Yes,Yes,Low,Medium,On Track
116,13,Female,9,Government,74.4,37,58,79,75,66.6,6,42.2,Yes,No,Smartphone,None,Service,224382,2,1.5,Walk,Yes,Yes,Yes,Yes,No,Medium,High,On Track
117,10,Other,10,Private,95.5,55,46,73,52,60.7,5.1,52.7,Yes,Yes,Shared Phone,None,Farmer,315930,4,4.7,Walk,Yes,No,Yes,No,No,Medium,High,On Track
118,15,Female,7,NGO,83.9,75,58,52,78,63.8,4.3,38.9,Yes,No,None,Primary,Farmer,206837,3,5.3,Bicycle,Yes,Yes,Yes,Yes,No,Medium,Low,On Track
119,17,Male,5,Private,59.6,61,38,74,62,61.6,4.5,33.4,No,No,Shared Phone,Graduate,Labourer,298516,3,6.9,Walk,No,No,No,Yes,No,High,Medium,On Track
120,14,Male,6,Government,49.1,51,78,50,39,55,5.4,36.5,No,Yes,Laptop,Primary,Service,267646,7,8.4,Bus,Yes,Yes,No,No,No,Low,Medium,At Risk
121,13,Male,6,Private,47.7,100,92,49,36,67.9,2.9,50.6,No,Yes,None,None,Service,148502,5,7.4,Bus,No,Yes,No,Yes,No,Low,Medium,At Risk
122,12,Other,10,Government,93.7,77,53,87,35,60.6,3.1,45.8,No,Yes,Shared Phone,None,Service,84935,8,7.9,Bus,No,No,No,Yes,No,High,Low,On Track
123,14,Male,6,NGO,66.7,34,94,96,48,64.2,4.7,42.1,Yes,Yes,Shared Phone,Primary,Labourer,62374,8,9,Bicycle,Yes,No,Yes,Yes,No,High,Medium,On Track
124,18,Female,11,NGO,75.4,65,96,88,31,72.9,3.9,66.6,No,Yes,Laptop,Primary,Self-employed,117699,5,4.1,Bus,Yes,Yes,No,No,Yes,High,Low,On Track
125,12,Other,9,Government,67.2,81,34,80,72,68.7,0.8,63.3,No,No,None,Secondary,Labourer,198888,3,4.6,Bus,No,No,No,No,No,Medium,High,On Track
126,16,Male,6,Government,55.3,57,82,92,96,85.4,5,66.1,Yes,Yes,Smartphone,Graduate,Farmer,111119,5,0.9,Bicycle,Yes,Yes,Yes,No,No,Low,Low,At Risk
127,17,Male,11,Government,79.9,45,33,60,77,53.6,3,97.2,No,No,Smartphone,Primary,Labourer,175612,8,3.5,Walk,No,Yes,Yes,No,No,Low,Medium,On Track
128,18,Female,5,NGO,92.6,31,90,46,52,55.8,0.5,47.7,No,No,Laptop,Graduate,Service,222824,6,1.7,Bus,No,No,No,No,No,Low,Medium,On Track
129,11,Other,12,Private,48.5,65,71,65,63,67.6,5.7,75.6,Yes,Yes,Shared Phone,None,Self-employed,251863,4,13.6,Bicycle,Yes,No,No,Yes,Yes,High,Low,At Risk
130,15,Other,8,Government,82.7,90,75,94,68,85.2,5.1,91.4,Yes,No,None,Graduate,Labourer,107079,4,3.5,Bicycle,Yes,No,No,No,No,High,Medium,On Track
131,14,Other,9,Private,70.5,45,90,36,39,52.2,1.6,38.4,No,No,Laptop,None,Labourer,119051,4,13,Walk,Yes,Yes,Yes,No,No,Medium,Medium,On Track
132,12,Male,10,Government,79.9,30,87,65,56,62.1,1.4,83.5,No,Yes,Shared Phone,Graduate,Labourer,265134,7,5.7,Walk,No,No,No,Yes,Yes,Medium,Medium,On Track
133,10,Female,8,Private,57.4,74,69,46,43,56.8,3.7,41.7,Yes,No,Smartphone,Graduate,Self-employed,312780,8,3,Bicycle,No,No,Yes,Yes,Yes,High,Low,At Risk
134,12,Female,8,Government,85.4,94,51,45,76,68.6,4.9,56.3,No,Yes,None,None,Self-employed,50350,5,10.6,Walk,Yes,Yes,Yes,No,No,Medium,Medium,On Track
135,11,Female,9,Government,79.3,47,83,43,95,69.2,1.1,38,Yes,No,Shared Phone,Primary,Farmer,177884,6,7.5,Walk,No,Yes,No,No,Yes,High,Medium,On Track
136,10,Male,5,Private,81.9,44,93,49,41,59.5,0.9,80.7,No,Yes,Laptop,Secondary,Self-employed,178477,8,10.2,Bicycle,Yes,No,Yes,Yes,Yes,Low,Low,At Risk
137,10,Other,7,Private,81.5,51,72,75,86,75.6,2,81.3,No,No,Shared Phone,None,Service,250122,7,13.3,Walk,No,No,Yes,Yes,Yes,Medium,Medium,On Track
138,12,Other,6,Private,67.9,91,86,53,78,79.8,3.9,90.4,Yes,No,Laptop,None,Farmer,255631,7,13.1,Bus,Yes,No,Yes,No,Yes,Low,Medium,At Risk
139,16,Other,8,Government,71.5,79,49,36,31,50.2,1.4,89.4,No,Yes,None,Graduate,Service,208104,5,12.3,Walk,No,Yes,No,No,No,Medium,Low,On Track
140,11,Female,12,NGO,69.6,45,93,32,43,52.3,0.7,68.4,Yes,No,Shared Phone,Graduate,Service,218705,7,9.9,Bus,Yes,No,No,Yes,Yes,Low,Medium,At Risk
141,13,Female,5,Government,63.8,67,100,96,77,87,0.8,41.5,Yes,No,None,Secondary,Self-employed,142719,2,11.4,Walk,Yes,Yes,Yes,No,No,Medium,Low,At Risk
142,18,Other,7,Government,98,30,97,36,100,70.1,5.1,63.8,Yes,Yes,Shared Phone,None,Self-employed,243112,5,14.5,Bicycle,No,No,No,Yes,Yes,Medium,High,On Track
143,16,Other,9,NGO,91.4,100,70,100,57,78.8,3.9,50.3,No,Yes,Shared Phone,Secondary,Service,100505,7,11.3,Bus,No,No,No,No,Yes,High,High,On Track
144,18,Other,6,NGO,46.4,48,36,37,55,41.7,4.8,98.8,No,Yes,None,Secondary,Labourer,146955,7,9.8,Bicycle,No,Yes,Yes,No,Yes,Medium,Low,At Risk
145,16,Male,11,Government,67.9,70,100,36,31,61.7,1.6,90.8,No,Yes,Smartphone,Primary,Labourer,141448,7,7.8,Bicycle,No,No,Yes,No,No,Low,High,At Risk
